성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
2020.01,카. 기 타,"4,362","69,829",,
2020.01,4. 중화학 공업품,"38,926","5,441,404",,
2020.01,가. 화공품,"6,771","687,168",,
2020.01,나. 철강제품,"3,652","172,570",,
2020.01,다. 기계류와 정밀기기,"7,376","348,254",,
2020.01,"라. 전기, 전자제품","18,524","4,082,696",,
2020.01,마. 수송장비,"1,723","134,441",,
2020.01,바. 기 타,880,"16,276",,
총계,,"47,395","6,208,465",,
2020.02,1. 식료 및 직접소비재,"1,592","30,187",,
2020.02,2. 원료 및 연료,825,"576,936",,
2020.02,3. 경공업품,"6,598","191,359",,
2020.02,가. 섬유원료,5,313,,
2020.02,나. 섬유사,16,41,,
2020.02,다. 직 물,52,"1,107",,
2020.02,라. 기타 섬유제품,287,"9,314",,
2020.02,마. 의 류,106,752,,
2020.02,바. 목제품,152,"12,039",,
2020.02,"사. 가죽, 고무 및 신발류",909,"3,164",,
2020.02,아. 귀금속 및 보석류,20,"15,343",,
2020.02,자. 기타 비금속 광물제품,632,"77,713",,
2020.02,"차. 완구, 운동용구 및 악기",60,330,,
2020.02,카. 기 타,"4,359","71,242",,
2020.02,4. 중화학 공업품,"38,380","5,409,984",,
2020.02,가. 화공품,"6,780","580,928",,
2020.02,나. 철강제품,"3,630","175,592",,
2020.02,다. 기계류와 정밀기기,"6,877","293,042",,
2020.02,"라. 전기, 전자제품","18,327","4,220,713",,
2020.02,마. 수송장비,"1,679","114,242",,
2020.02,바. 기 타,"1,087","25,466",,
총계,,"54,547","7,067,342",,
2020.03,1. 식료 및 직접소비재,"1,774","38,653",,
2020.03,2. 원료 및 연료,877,"407,789",,
2020.03,3. 경공업품,"8,039","202,544",,
2020.03,가. 섬유원료,4,391,,
2020.03,나. 섬유사,26,177,,
2020.03,다. 직 물,55,"1,109",,
2020.03,라. 기타 섬유제품,250,"6,082",,
2020.03,마. 의 류,71,821,,
2020.03,바. 목제품,200,"13,404",,
2020.03,"사. 가죽, 고무 및 신발류",821,"3,780",,
2020.03,아. 귀금속 및 보석류,13,"5,010",,
2020.03,자. 기타 비금속 광물제품,714,"91,996",,
2020.03,"차. 완구, 운동용구 및 악기",100,833,,
2020.03,카. 기 타,"5,785","78,940",,
2020.03,4. 중화학 공업품,"43,857","6,418,357",,
2020.03,가. 화공품,"8,172","689,733",,
2020.03,나. 철강제품,"4,042","153,919",,
2020.03,다. 기계류와 정밀기기,"8,233","365,691",,
2020.03,"라. 전기, 전자제품","20,482","5,044,523",,
2020.03,마. 수송장비,"1,748","138,767",,
2020.03,바. 기 타,"1,180","25,723",,
총계,,"48,024","5,262,447",,
2020.04,1. 식료 및 직접소비재,"1,727","34,400",,
2020.04,2. 원료 및 연료,645,"172,220",,
2020.04,3. 경공업품,"7,870","191,461",,
2020.04,가. 섬유원료,2,73,,
2020.04,나. 섬유사,12,69,,
2020.04,다. 직 물,43,817,,
2020.04,라. 기타 섬유제품,189,"4,820",,
2020.04,마. 의 류,100,822,,
2020.04,바. 목제품,174,"13,341",,
2020.04,"사. 가죽, 고무 및 신발류",842,"2,273",,
2020.04,아. 귀금속 및 보석류,17,"17,609",,
2020.04,자. 기타 비금속 광물제품,552,"81,785",,
2020.04,"차. 완구, 운동용구 및 악기",38,280,,
2020.04,카. 기 타,"5,901","69,572",,
2020.04,4. 중화학 공업품,"37,782","4,864,367",,
2020.04,가. 화공품,"7,193","510,727",,
2020.04,나. 철강제품,"3,496","148,383",,
2020.04,다. 기계류와 정밀기기,"6,925","384,092",,
2020.04,"라. 전기, 전자제품","17,930","3,697,814",,
2020.04,마. 수송장비,"1,116","99,549",,
2020.04,바. 기 타,"1,122","23,801",,
총계,,"45,476","5,738,085",,
2020.05,1. 식료 및 직접소비재,"1,565","26,379",,
2020.05,2. 원료 및 연료,609,"106,083",,
2020.05,3. 경공업품,"7,597","161,221",,
2020.05,가. 섬유원료,0,0,,
2020.05,나. 섬유사,10,22,,
2020.05,다. 직 물,43,918,,
2020.05,라. 기타 섬유제품,145,"4,428",,
2020.05,마. 의 류,110,"4,326",,
2020.05,바. 목제품,159,"12,142",,
2020.05,"사. 가죽, 고무 및 신발류","1,072","2,433",,
2020.05,아. 귀금속 및 보석류,15,"9,453",,
2020.05,자. 기타 비금속 광물제품,514,"74,174",,
2020.05,"차. 완구, 운동용구 및 악기",65,537,,
2020.05,카. 기 타,"5,464","52,788",,
2020.05,4. 중화학 공업품,"35,705","5,444,402",,
2020.05,가. 화공품,"6,453","454,432",,
2020.05,나. 철강제품,"2,881","130,942",,
2020.05,다. 기계류와 정밀기기,"6,572","253,416",,
2020.05,"라. 전기, 전자제품","17,108","4,519,231",,
2020.05,마. 수송장비,906,"65,694",,
2020.05,바. 기 타,"1,785","20,688",,
총계,,"47,431","6,361,749",,
2020.06,1. 식료 및 직접소비재,"1,720","34,385",,
2020.06,2. 원료 및 연료,883,"349,299",,
2020.06,3. 경공업품,"7,342","178,682",,
2020.06,가. 섬유원료,3,113,,
2020.06,나. 섬유사,23,139,,
2020.06,다. 직 물,57,"1,413",,
2020.06,라. 기타 섬유제품,141,"3,486",,
2020.06,마. 의 류,97,"6,728",,
2020.06,바. 목제품,195,"14,018",,
2020.06,"사. 가죽, 고무 및 신발류","1,260","2,778",,
2020.06,아. 귀금속 및 보석류,12,"9,156",,
2020.06,자. 기타 비금속 광물제품,602,"79,905",,
2020.06,"차. 완구, 운동용구 및 악기",63,884,,
2020.06,카. 기 타,"4,889","60,062",,
2020.06,4. 중화학 공업품,"37,486","5,799,383",,
2020.06,가. 화공품,"6,946","498,904",,
2020.06,나. 철강제품,"3,239","144,000",,
2020.06,다. 기계류와 정밀기기,"7,339","366,097",,
2020.06,"라. 전기, 전자제품","17,765","4,676,174",,
2020.06,마. 수송장비,"1,258","91,711",,
2020.06,바. 기 타,939,"22,496",,
총계,,"53,105","5,937,781",,
2020.07,1. 식료 및 직접소비재,"1,906","40,259",,
2020.07,2. 원료 및 연료,834,"360,911",,
2020.07,3. 경공업품,"8,122","199,813",,
2020.07,가. 섬유원료,3,220,,
2020.07,나. 섬유사,38,67,,
2020.07,다. 직 물,77,"1,709",,
2020.07,라. 기타 섬유제품,214,"6,396",,
2020.07,마. 의 류,110,"14,743",,
2020.07,바. 목제품,265,"17,509",,
2020.07,"사. 가죽, 고무 및 신발류","1,450","3,400",,
2020.07,아. 귀금속 및 보석류,10,"1,206",,
2020.07,자. 기타 비금속 광물제품,734,"87,700",,
2020.07,"차. 완구, 운동용구 및 악기",140,"1,563",,
2020.07,카. 기 타,"5,081","65,299",,
2020.07,4. 중화학 공업품,"42,243","5,336,798",,
2020.07,가. 화공품,"7,936","571,985",,
2020.07,나. 철강제품,"4,100","147,312",,
2020.07,다. 기계류와 정밀기기,"8,394","377,123",,
2020.07,"라. 전기, 전자제품","18,903","4,070,622",,
2020.07,마. 수송장비,"1,935","138,833",,
2020.07,바. 기 타,975,"30,923",,
