성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
2020.01,"차. 완구, 운동용구 및 악기",64,643,,
2020.01,카. 기 타,"3,069","46,370",,
2020.01,4. 중화학 공업품,"44,368","4,120,196",,
2020.01,가. 화공품,"2,990","43,070",,
2020.01,나. 철강제품,"9,051","226,405",,
2020.01,다. 기계류와 정밀기기,"18,980","1,199,515",,
2020.01,"라. 전기, 전자제품","7,237","241,911",,
2020.01,마. 수송장비,"5,641","2,366,565",,
2020.01,바. 기 타,469,"42,729",,
총계,,"59,923","2,876,586",,
2020.02,1. 식료 및 직접소비재,"4,090","85,916",,
2020.02,2. 원료 및 연료,730,"16,643",,
2020.02,3. 경공업품,"9,511","193,766",,
2020.02,가. 섬유원료,127,"4,115",,
2020.02,나. 섬유사,137,935,,
2020.02,다. 직 물,920,"8,149",,
2020.02,라. 기타 섬유제품,"1,172","9,679",,
2020.02,마. 의 류,137,846,,
2020.02,바. 목제품,332,"4,680",,
2020.02,"사. 가죽, 고무 및 신발류","3,275","111,425",,
2020.02,아. 귀금속 및 보석류,11,140,,
2020.02,자. 기타 비금속 광물제품,237,"3,926",,
2020.02,"차. 완구, 운동용구 및 악기",85,"1,043",,
2020.02,카. 기 타,"3,078","48,829",,
2020.02,4. 중화학 공업품,"45,592","2,580,261",,
2020.02,가. 화공품,"3,188","52,878",,
2020.02,나. 철강제품,"9,265","247,061",,
2020.02,다. 기계류와 정밀기기,"19,708","1,053,714",,
2020.02,"라. 전기, 전자제품","7,271","241,491",,
2020.02,마. 수송장비,"5,706","967,330",,
2020.02,바. 기 타,454,"17,788",,
총계,,"66,345","2,932,140",,
2020.03,1. 식료 및 직접소비재,"4,188","108,991",,
2020.03,2. 원료 및 연료,878,"22,375",,
2020.03,3. 경공업품,"9,664","171,993",,
2020.03,가. 섬유원료,127,"4,566",,
2020.03,나. 섬유사,161,"1,556",,
2020.03,다. 직 물,"1,015","7,484",,
2020.03,라. 기타 섬유제품,904,"8,655",,
2020.03,마. 의 류,123,956,,
2020.03,바. 목제품,368,"5,348",,
2020.03,"사. 가죽, 고무 및 신발류","3,231","90,153",,
2020.03,아. 귀금속 및 보석류,7,46,,
2020.03,자. 기타 비금속 광물제품,246,"3,969",,
2020.03,"차. 완구, 운동용구 및 악기",94,893,,
2020.03,카. 기 타,"3,388","48,368",,
2020.03,4. 중화학 공업품,"51,615","2,628,781",,
2020.03,가. 화공품,"3,581","56,074",,
2020.03,나. 철강제품,"10,142","257,316",,
2020.03,다. 기계류와 정밀기기,"22,291","1,063,133",,
2020.03,"라. 전기, 전자제품","8,852","298,853",,
2020.03,마. 수송장비,"6,178","938,266",,
2020.03,바. 기 타,571,"15,140",,
총계,,"51,867","2,169,040",,
2020.04,1. 식료 및 직접소비재,"3,896","95,959",,
2020.04,2. 원료 및 연료,612,"16,676",,
2020.04,3. 경공업품,"7,891","122,719",,
2020.04,가. 섬유원료,35,"1,268",,
