성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
2020.01,카. 기 타,"2,957","36,975",,
2020.01,4. 중화학 공업품,"24,370","1,639,329",,
2020.01,가. 화공품,"6,399","286,396",,
2020.01,나. 철강제품,"3,687","73,996",,
2020.01,다. 기계류와 정밀기기,"3,495","183,882",,
2020.01,"라. 전기, 전자제품","9,120","1,040,988",,
2020.01,마. 수송장비,850,"40,963",,
2020.01,바. 기 타,819,"13,104",,
총계,,"30,743","1,845,130",,
2020.02,1. 식료 및 직접소비재,937,"33,214",,
2020.02,2. 원료 및 연료,257,"9,423",,
2020.02,3. 경공업품,"4,725","78,095",,
2020.02,가. 섬유원료,8,378,,
2020.02,나. 섬유사,69,"1,243",,
2020.02,다. 직 물,102,"1,958",,
2020.02,라. 기타 섬유제품,359,"7,970",,
2020.02,마. 의 류,307,802,,
2020.02,바. 목제품,292,"3,312",,
2020.02,"사. 가죽, 고무 및 신발류",281,"3,707",,
2020.02,아. 귀금속 및 보석류,46,"1,246",,
2020.02,자. 기타 비금속 광물제품,285,"15,346",,
2020.02,"차. 완구, 운동용구 및 악기",81,"4,448",,
2020.02,카. 기 타,"2,895","37,687",,
2020.02,4. 중화학 공업품,"24,824","1,724,397",,
2020.02,가. 화공품,"6,630","298,294",,
2020.02,나. 철강제품,"3,536","68,365",,
2020.02,다. 기계류와 정밀기기,"3,779","189,317",,
2020.02,"라. 전기, 전자제품","9,102","1,109,246",,
2020.02,마. 수송장비,889,"38,882",,
2020.02,바. 기 타,888,"20,293",,
총계,,"34,614","2,207,943",,
2020.03,1. 식료 및 직접소비재,"1,030","34,364",,
2020.03,2. 원료 및 연료,326,"19,351",,
2020.03,3. 경공업품,"5,272","89,539",,
2020.03,가. 섬유원료,10,424,,
2020.03,나. 섬유사,79,"1,575",,
2020.03,다. 직 물,106,"2,413",,
2020.03,라. 기타 섬유제품,357,"7,594",,
2020.03,마. 의 류,411,217,,
2020.03,바. 목제품,294,"3,111",,
2020.03,"사. 가죽, 고무 및 신발류",298,"3,530",,
2020.03,아. 귀금속 및 보석류,68,"1,305",,
2020.03,자. 기타 비금속 광물제품,306,"19,664",,
2020.03,"차. 완구, 운동용구 및 악기",71,"3,775",,
2020.03,카. 기 타,"3,272","45,930",,
2020.03,4. 중화학 공업품,"27,986","2,064,688",,
2020.03,가. 화공품,"7,786","371,258",,
2020.03,나. 철강제품,"4,029","83,619",,
2020.03,다. 기계류와 정밀기기,"4,337","208,274",,
2020.03,"라. 전기, 전자제품","9,965","1,329,359",,
2020.03,마. 수송장비,924,"47,722",,
2020.03,바. 기 타,945,"24,456",,
총계,,"28,622","1,822,283",,
