성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
2020.01,카. 기 타,"1,690","25,650",,
2020.01,4. 중화학 공업품,"37,760","3,589,957",,
2020.01,가. 화공품,"8,727","828,978",,
2020.01,나. 철강제품,"4,223","273,949",,
2020.01,다. 기계류와 정밀기기,"3,523","191,678",,
2020.01,"라. 전기, 전자제품","2,119","120,477",,
2020.01,마. 수송장비,"18,930","2,166,916",,
2020.01,바. 기 타,238,"7,959",,
총계,,"43,081","4,734,754",,
2020.02,1. 식료 및 직접소비재,236,"11,699",,
2020.02,2. 원료 및 연료,"1,113","1,313,543",,
2020.02,3. 경공업품,"4,246","366,148",,
2020.02,가. 섬유원료,215,"19,618",,
2020.02,나. 섬유사,415,"21,604",,
2020.02,다. 직 물,168,"10,579",,
2020.02,라. 기타 섬유제품,128,678,,
2020.02,마. 의 류,20,18,,
2020.02,바. 목제품,106,"3,129",,
2020.02,"사. 가죽, 고무 및 신발류","1,117","2,095",,
2020.02,아. 귀금속 및 보석류,147,"278,911",,
2020.02,자. 기타 비금속 광물제품,185,"1,086",,
2020.02,"차. 완구, 운동용구 및 악기",22,121,,
2020.02,카. 기 타,"1,723","28,308",,
2020.02,4. 중화학 공업품,"37,486","3,043,365",,
2020.02,가. 화공품,"8,763","801,837",,
2020.02,나. 철강제품,"4,149","261,712",,
2020.02,다. 기계류와 정밀기기,"3,866","264,692",,
2020.02,"라. 전기, 전자제품","2,359","115,256",,
2020.02,마. 수송장비,"18,071","1,593,158",,
2020.02,바. 기 타,278,"6,710",,
총계,,"45,656","5,396,035",,
2020.03,1. 식료 및 직접소비재,271,"12,146",,
2020.03,2. 원료 및 연료,"1,287","1,177,267",,
2020.03,3. 경공업품,"3,832","246,171",,
2020.03,가. 섬유원료,228,"20,831",,
2020.03,나. 섬유사,377,"19,029",,
2020.03,다. 직 물,198,"10,533",,
2020.03,라. 기타 섬유제품,95,499,,
2020.03,마. 의 류,20,11,,
2020.03,바. 목제품,61,"1,892",,
2020.03,"사. 가죽, 고무 및 신발류",907,"2,043",,
2020.03,아. 귀금속 및 보석류,140,"160,368",,
2020.03,자. 기타 비금속 광물제품,139,745,,
2020.03,"차. 완구, 운동용구 및 악기",35,23,,
2020.03,카. 기 타,"1,632","30,197",,
2020.03,4. 중화학 공업품,"40,266","3,960,451",,
2020.03,가. 화공품,"9,949","831,634",,
2020.03,나. 철강제품,"3,862","287,785",,
2020.03,다. 기계류와 정밀기기,"3,557","234,280",,
2020.03,"라. 전기, 전자제품","2,141","129,897",,
2020.03,마. 수송장비,"20,546","2,471,019",,
2020.03,바. 기 타,211,"5,837",,
총계,,"38,169","4,143,506",,
2020.04,1. 식료 및 직접소비재,262,"15,956",,
2020.04,2. 원료 및 연료,"1,050","882,961",,
2020.04,3. 경공업품,"3,848","207,152",,
2020.04,가. 섬유원료,120,"13,607",,
2020.04,나. 섬유사,192,"9,214",,
2020.04,다. 직 물,320,"5,666",,
2020.04,라. 기타 섬유제품,88,295,,
2020.04,마. 의 류,4,15,,
2020.04,바. 목제품,64,"2,414",,
2020.04,"사. 가죽, 고무 및 신발류","1,194","1,211",,
2020.04,아. 귀금속 및 보석류,116,"146,917",,
2020.04,자. 기타 비금속 광물제품,152,477,,
2020.04,"차. 완구, 운동용구 및 악기",6,12,,
2020.04,카. 기 타,"1,592","27,325",,
2020.04,4. 중화학 공업품,"33,009","3,037,436",,
2020.04,가. 화공품,"8,008","718,016",,
2020.04,나. 철강제품,"3,919","261,516",,
2020.04,다. 기계류와 정밀기기,"3,585","242,714",,
2020.04,"라. 전기, 전자제품","1,609","108,026",,
2020.04,마. 수송장비,"15,739","1,704,686",,
2020.04,바. 기 타,149,"2,477",,
총계,,"30,406","3,387,417",,
2020.05,1. 식료 및 직접소비재,210,"13,933",,
2020.05,2. 원료 및 연료,773,"642,649",,
2020.05,3. 경공업품,"2,914","181,375",,
2020.05,가. 섬유원료,97,"12,529",,
2020.05,나. 섬유사,155,"7,202",,
2020.05,다. 직 물,99,"4,093",,
2020.05,라. 기타 섬유제품,45,627,,
2020.05,마. 의 류,4,60,,
2020.05,바. 목제품,47,"2,887",,
2020.05,"사. 가죽, 고무 및 신발류",958,957,,
2020.05,아. 귀금속 및 보석류,107,"131,686",,
2020.05,자. 기타 비금속 광물제품,121,300,,
2020.05,"차. 완구, 운동용구 및 악기",12,16,,
2020.05,카. 기 타,"1,269","21,018",,
2020.05,4. 중화학 공업품,"26,509","2,549,461",,
2020.05,가. 화공품,"6,810","630,318",,
2020.05,나. 철강제품,"3,146","184,084",,
2020.05,다. 기계류와 정밀기기,"3,150","191,281",,
2020.05,"라. 전기, 전자제품","1,504","119,000",,
2020.05,마. 수송장비,"11,798","1,423,062",,
2020.05,바. 기 타,101,"1,716",,
총계,,"34,746","3,772,994",,
2020.06,1. 식료 및 직접소비재,249,"14,526",,
2020.06,2. 원료 및 연료,930,"758,601",,
2020.06,3. 경공업품,"3,142","163,467",,
2020.06,가. 섬유원료,128,"13,110",,
2020.06,나. 섬유사,223,"10,077",,
2020.06,다. 직 물,113,"4,638",,
2020.06,라. 기타 섬유제품,50,307,,
2020.06,마. 의 류,24,24,,
2020.06,바. 목제품,63,"3,632",,
2020.06,"사. 가죽, 고무 및 신발류",901,908,,
2020.06,아. 귀금속 및 보석류,118,"108,315",,
2020.06,자. 기타 비금속 광물제품,216,325,,
