성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
2020.01,바. 기 타,455,"7,022",,
총계,,"9,881","371,889",,
2020.02,1. 식료 및 직접소비재,473,"23,388",,
2020.02,2. 원료 및 연료,47,751,,
2020.02,3. 경공업품,"1,626","47,517",,
2020.02,가. 섬유원료,0,0,,
2020.02,나. 섬유사,166,"2,131",,
2020.02,다. 직 물,38,507,,
2020.02,라. 기타 섬유제품,106,"2,221",,
2020.02,마. 의 류,85,129,,
2020.02,바. 목제품,24,95,,
2020.02,"사. 가죽, 고무 및 신발류",152,"1,769",,
2020.02,아. 귀금속 및 보석류,1,"4,087",,
2020.02,자. 기타 비금속 광물제품,32,593,,
2020.02,"차. 완구, 운동용구 및 악기",12,93,,
2020.02,카. 기 타,"1,010","35,890",,
2020.02,4. 중화학 공업품,"7,735","300,233",,
2020.02,가. 화공품,"1,107","36,321",,
2020.02,나. 철강제품,768,"16,663",,
2020.02,다. 기계류와 정밀기기,"2,084","125,306",,
2020.02,"라. 전기, 전자제품","2,405","80,518",,
2020.02,마. 수송장비,761,"32,997",,
2020.02,바. 기 타,610,"8,428",,
총계,,"10,350","406,404",,
2020.03,1. 식료 및 직접소비재,411,"56,266",,
2020.03,2. 원료 및 연료,42,455,,
2020.03,3. 경공업품,"1,731","45,879",,
2020.03,가. 섬유원료,0,0,,
2020.03,나. 섬유사,225,"2,520",,
2020.03,다. 직 물,33,528,,
2020.03,라. 기타 섬유제품,123,"2,257",,
2020.03,마. 의 류,39,93,,
2020.03,바. 목제품,28,327,,
2020.03,"사. 가죽, 고무 및 신발류",114,"1,178",,
2020.03,아. 귀금속 및 보석류,1,"2,977",,
2020.03,자. 기타 비금속 광물제품,39,383,,
2020.03,"차. 완구, 운동용구 및 악기",8,732,,
2020.03,카. 기 타,"1,121","34,882",,
2020.03,4. 중화학 공업품,"8,166","303,804",,
2020.03,가. 화공품,"1,289","47,119",,
2020.03,나. 철강제품,915,"15,575",,
2020.03,다. 기계류와 정밀기기,"2,105","95,548",,
2020.03,"라. 전기, 전자제품","2,583","105,041",,
2020.03,마. 수송장비,667,"33,689",,
2020.03,바. 기 타,607,"6,832",,
총계,,"8,650","319,125",,
2020.04,1. 식료 및 직접소비재,349,"21,529",,
2020.04,2. 원료 및 연료,34,538,,
2020.04,3. 경공업품,"1,454","41,043",,
2020.04,나. 섬유사,203,"2,846",,
2020.04,다. 직 물,27,450,,
2020.04,라. 기타 섬유제품,131,"2,251",,
2020.04,마. 의 류,24,111,,
2020.04,바. 목제품,24,98,,
2020.04,"사. 가죽, 고무 및 신발류",101,"1,012",,
2020.04,아. 귀금속 및 보석류,1,974,,
2020.04,자. 기타 비금속 광물제품,33,257,,
2020.04,"차. 완구, 운동용구 및 악기",14,158,,
2020.04,카. 기 타,896,"32,887",,
2020.04,4. 중화학 공업품,"6,813","256,015",,
2020.04,가. 화공품,"1,237","68,754",,
2020.04,나. 철강제품,654,"5,968",,
2020.04,다. 기계류와 정밀기기,"1,652","56,590",,
2020.04,"라. 전기, 전자제품","2,508","93,081",,
2020.04,마. 수송장비,371,"17,491",,
2020.04,바. 기 타,391,"14,132",,
총계,,"8,042","334,112",,
2020.05,1. 식료 및 직접소비재,359,"42,294",,
2020.05,2. 원료 및 연료,32,761,,
2020.05,3. 경공업품,"1,288","35,565",,
2020.05,가. 섬유원료,0,0,,
2020.05,나. 섬유사,181,"2,638",,
2020.05,다. 직 물,26,520,,
2020.05,라. 기타 섬유제품,108,"2,092",,
2020.05,마. 의 류,42,43,,
2020.05,바. 목제품,18,63,,
2020.05,"사. 가죽, 고무 및 신발류",96,"1,022",,
2020.05,아. 귀금속 및 보석류,3,"1,538",,
2020.05,자. 기타 비금속 광물제품,25,386,,
2020.05,"차. 완구, 운동용구 및 악기",15,39,,
2020.05,카. 기 타,774,"27,224",,
2020.05,4. 중화학 공업품,"6,363","255,493",,
2020.05,가. 화공품,"1,090","52,967",,
2020.05,나. 철강제품,515,"5,535",,
2020.05,다. 기계류와 정밀기기,"1,605","89,288",,
2020.05,"라. 전기, 전자제품","2,470","87,139",,
2020.05,마. 수송장비,243,"8,277",,
2020.05,바. 기 타,440,"12,287",,
총계,,"9,367","389,833",,
2020.06,1. 식료 및 직접소비재,571,"52,802",,
2020.06,2. 원료 및 연료,57,744,,
2020.06,3. 경공업품,"1,355","35,966",,
2020.06,가. 섬유원료,1,24,,
2020.06,나. 섬유사,187,"2,368",,
2020.06,다. 직 물,25,345,,
2020.06,라. 기타 섬유제품,108,"2,268",,
2020.06,마. 의 류,70,142,,
2020.06,바. 목제품,26,90,,
2020.06,"사. 가죽, 고무 및 신발류",99,"1,165",,
2020.06,아. 귀금속 및 보석류,1,0,,
2020.06,자. 기타 비금속 광물제품,18,68,,
2020.06,"차. 완구, 운동용구 및 악기",19,846,,
2020.06,카. 기 타,801,"28,650",,
2020.06,4. 중화학 공업품,"7,384","300,321",,
2020.06,가. 화공품,"1,236","53,974",,
2020.06,나. 철강제품,593,"8,657",,
2020.06,다. 기계류와 정밀기기,"1,822","101,578",,
2020.06,"라. 전기, 전자제품","2,599","101,445",,
2020.06,마. 수송장비,429,"10,409",,
2020.06,바. 기 타,705,"24,258",,
총계,,"11,248","464,871",,
2020.07,1. 식료 및 직접소비재,553,"35,766",,
2020.07,2. 원료 및 연료,33,"1,076",,
2020.07,3. 경공업품,"1,596","40,509",,
2020.07,가. 섬유원료,0,0,,
