성질별 국가별 수출입실적,,,,,
,,,,,
"통계구분:수리일기준,조회기간:201908 ~202007 ,성질명:전체,수출입구분:수출,국가:[중국]",,,,,
,,,,,"단위:천 불(USD 1,000) / 톤(TON)"
기간,수출입구분,국가명,성질명,중량,금액
2019.12,수출,중국,다. 직 물,"4,317.0","46,933"
2019.12,수출,중국,라. 기타 섬유제품,"2,707.3","23,738"
2019.12,수출,중국,마. 의 류,"2,104.7","31,347"
2019.12,수출,중국,바. 목제품,"2,042.9","23,532"
2019.12,수출,중국,"사. 가죽, 고무 및 신발류","2,765.0","34,258"
2019.12,수출,중국,아. 귀금속 및 보석류,296.8,"9,521"
2019.12,수출,중국,자. 기타 비금속 광물제품,"276,757.2","79,180"
2019.12,수출,중국,"차. 완구, 운동용구 및 악기","1,393.7","6,998"
2019.12,수출,중국,카. 기 타,"98,160.8","143,863"
2019.12,수출,중국,4. 중화학 공업품,"2,671,006.9","10,761,795"
2019.12,수출,중국,가. 화공품,"1,882,480.8","2,424,356"
2019.12,수출,중국,나. 철강제품,"567,312.7","658,711"
2019.12,수출,중국,다. 기계류와 정밀기기,"87,674.3","2,138,992"
2019.12,수출,중국,"라. 전기, 전자제품","25,451.1","4,850,995"
2019.12,수출,중국,마. 수송장비,"88,218.0","313,816"
2019.12,수출,중국,바. 기 타,"19,870.0","374,926"
2020.01,수출,중국,1. 식료 및 직접소비재,"48,327.3","85,823"
2020.01,수출,중국,2. 원료 및 연료,"1,440,389.5","795,626"
2020.01,수출,중국,3. 경공업품,"326,780.4","381,302"
2020.01,수출,중국,가. 섬유원료,"8,806.7","14,392"
2020.01,수출,중국,나. 섬유사,"2,284.0","11,839"
2020.01,수출,중국,다. 직 물,"2,478.4","26,676"
2020.01,수출,중국,라. 기타 섬유제품,"2,853.9","74,366"
2020.01,수출,중국,마. 의 류,"1,228.4","19,803"
2020.01,수출,중국,바. 목제품,"1,275.3","13,915"
2020.01,수출,중국,"사. 가죽, 고무 및 신발류","1,995.9","24,666"
2020.01,수출,중국,아. 귀금속 및 보석류,46.9,"15,841"
2020.01,수출,중국,자. 기타 비금속 광물제품,"239,722.4","67,497"
2020.01,수출,중국,"차. 완구, 운동용구 및 악기",830.4,"3,300"
2020.01,수출,중국,카. 기 타,"65,258.2","109,007"
2020.01,수출,중국,4. 중화학 공업품,"2,023,799.0","8,379,280"
2020.01,수출,중국,가. 화공품,"1,518,317.3","1,894,273"
2020.01,수출,중국,나. 철강제품,"391,548.6","505,860"
2020.01,수출,중국,다. 기계류와 정밀기기,"62,077.0","1,424,563"
2020.01,수출,중국,"라. 전기, 전자제품","19,677.4","4,181,974"
2020.01,수출,중국,마. 수송장비,"17,456.8","116,644"
2020.01,수출,중국,바. 기 타,"14,721.7","255,965"
2020.02,수출,중국,1. 식료 및 직접소비재,"36,615.5","82,727"
2020.02,수출,중국,2. 원료 및 연료,"1,061,820.8","537,032"
2020.02,수출,중국,3. 경공업품,"209,532.0","474,877"
2020.02,수출,중국,가. 섬유원료,"6,861.0","13,193"
2020.02,수출,중국,나. 섬유사,"1,394.0","8,301"
2020.02,수출,중국,다. 직 물,"2,803.8","31,429"
2020.02,수출,중국,라. 기타 섬유제품,"3,809.4","150,747"
2020.02,수출,중국,마. 의 류,"1,831.3","36,046"
2020.02,수출,중국,바. 목제품,"1,072.7","11,810"
2020.02,수출,중국,"사. 가죽, 고무 및 신발류","1,788.3","23,502"
2020.02,수출,중국,아. 귀금속 및 보석류,57.4,"28,799"
2020.02,수출,중국,자. 기타 비금속 광물제품,"104,788.3","59,843"
2020.02,수출,중국,"차. 완구, 운동용구 및 악기",366.0,"3,518"
2020.02,수출,중국,카. 기 타,"84,760.0","107,690"
2020.02,수출,중국,4. 중화학 공업품,"1,641,898.8","7,730,298"
2020.02,수출,중국,가. 화공품,"1,178,042.3","1,547,651"
2020.02,수출,중국,나. 철강제품,"337,224.8","423,311"
2020.02,수출,중국,다. 기계류와 정밀기기,"63,048.6","1,225,566"
2020.02,수출,중국,"라. 전기, 전자제품","19,446.3","4,101,488"
2020.02,수출,중국,마. 수송장비,"22,329.2","116,001"
2020.02,수출,중국,바. 기 타,"21,807.6","316,280"
2020.03,수출,중국,1. 식료 및 직접소비재,"52,018.0","126,889"
2020.03,수출,중국,2. 원료 및 연료,"1,539,196.4","660,371"
2020.03,수출,중국,3. 경공업품,"148,470.0","386,381"
2020.03,수출,중국,가. 섬유원료,"9,572.7","18,489"
2020.03,수출,중국,나. 섬유사,"2,170.1","13,147"
2020.03,수출,중국,다. 직 물,"2,867.9","38,775"
2020.03,수출,중국,라. 기타 섬유제품,"2,442.9","21,110"
2020.03,수출,중국,마. 의 류,"1,708.3","22,767"
2020.03,수출,중국,바. 목제품,"1,614.8","18,158"
2020.03,수출,중국,"사. 가죽, 고무 및 신발류","2,673.6","31,180"
2020.03,수출,중국,아. 귀금속 및 보석류,272.0,"8,889"
2020.03,수출,중국,자. 기타 비금속 광물제품,"10,657.0","66,617"
2020.03,수출,중국,"차. 완구, 운동용구 및 악기","1,348.5","3,382"
2020.03,수출,중국,카. 기 타,"113,142.3","143,867"
2020.03,수출,중국,4. 중화학 공업품,"1,832,124.6","9,469,862"
