성질명,수출품목건수,수출금액,수출금액_단위
" 가죽, 고무 및 신발류",151,2174,2
 귀금속 및 보석류,1,560,0
 기 타,773,22866,22
 기계류와 정밀기기,2122,94755,94
 기타 비금속 광물제품,31,679,0
 기타 섬유제품,98,2267,2
 목제품,27,119,0
 섬유사,184,2637,2
 섬유원료,0,1,0
 수송장비,722,51180,51
 식료 및 직접소비재,344,27978,27
" 완구, 운동용구 및 악기",14,350,0
 원료 및 연료,45,665,0
 의 류,72,154,0
" 전기, 전자제품",2546,83162,83
 직 물,31,524,0
 철강제품,756,7945,7
 화공품,1104,33986,33
