시도명,차액,CTPRVN_CD,차액변환
강원도,-11595,42,-12
경기도,-147550,41,-148
경상남도,-603564,48,-604
경상북도,-322452,47,-322
광주광역시,-5825,29,-6
대구광역시,-122555,27,-123
대전광역시,26171,30,26
부산광역시,-206548,26,-207
서울특별시,-602408,11,-602
세종특별자치시,-12334,36,-12
울산광역시,-1306924,31,-1307
인천광역시,-65657,28,-66
전라남도,-571427,46,-571
전라북도,-51303,45,-51
제주특별자치도,-2671,50,-3
충청남도,-754420,44,-754
충청북도,109886,43,110
