시도명,차액,CTPRVN_CD
강원도,-11595.329999999987,42
경기도,-147550.5,41
경상남도,-603563.6600000001,48
경상북도,-322452.5,47
광주광역시,-5825.0,29
대구광역시,-122555.16999999998,27
대전광역시,26171.0,30
부산광역시,-206547.83999999997,26
서울특별시,-602407.6699999999,11
세종특별자치시,-12333.669999999998,36
울산광역시,-1306924.33,31
인천광역시,-65656.66999999993,28
전라남도,-571426.6699999999,46
전라북도,-51303.169999999984,45
제주특별자치도,-2670.67,50
충청남도,-754420.1600000001,44
충청북도,109885.66000000015,43
