시도명,수출건수,수출금액
강원도,3916.33,168814.83
경기도,204898.17,9370152.17
경상남도,41831.83,3359309.83
경상북도,39009.17,3196695.83
광주광역시,9727.83,1059661.33
대구광역시,18181.33,608132.0
대전광역시,7424.17,354868.0
부산광역시,41661.0,1124812.67
서울특별시,165795.67,4652330.0
세종특별자치시,2574.0,113954.17
울산광역시,21889.17,5647688.33
인천광역시,251673.17,3133764.0
전라남도,16571.5,2684710.17
전라북도,7863.17,507710.67
제주특별자치도,678.5,13662.0
충청남도,36915.17,6850398.33
충청북도,22377.33,1838334.67
