성질명,수출품목건수,수출금액,수출금액_단위
" 가죽, 고무 및 신발류",119,1312,1
 귀금속 및 보석류,1,1596,1
 기 타,764,27280,27
 기계류와 정밀기기,1899,94947,94
 기타 비금속 광물제품,26,282,0
 기타 섬유제품,125,2580,2
 목제품,24,146,0
 섬유사,186,2430,2
 섬유원료,0,5,0
 수송장비,545,21597,21
 식료 및 직접소비재,453,38674,38
" 완구, 운동용구 및 악기",13,328,0
 원료 및 연료,41,721,0
 의 류,60,113,0
" 전기, 전자제품",2620,99461,99
 직 물,30,510,0
 철강제품,698,9719,9
 화공품,1222,52059,52
