시도명,수출건수,수출금액
강원도,3596.83,157219.5
경기도,187776.17,9222601.67
경상남도,39771.83,2755746.17
경상북도,34061.67,2874243.33
광주광역시,9248.33,1053836.33
대구광역시,16442.0,485576.83
대전광역시,7260.33,381039.0
부산광역시,41230.33,918264.83
서울특별시,266129.5,4049922.33
세종특별자치시,2486.5,101620.5
울산광역시,19476.67,4340764.0
인천광역시,172578.17,3068107.33
전라남도,16131.33,2113283.5
전라북도,8015.67,456407.5
제주특별자치도,484.0,10991.33
충청남도,36575.83,6095978.17
충청북도,21176.33,1948220.33
